scenario_id,hour,base_total_offered_gbps,total_offered_gbps,enterprise_pct,ran_pct,pon_pct,enterprise_gbps,ran_gbps,pon_gbps,minute,minute_step,minute_of_day,traffic_random_factor
200001,1,53.8505,37.96312933,0.340805,0.416102,0.243093,12.93804659,15.79654036,9.228542383,0,5,0,1.010461227
200001,1,53.8505,36.77882824,0.340805,0.416102,0.243093,12.53443016,15.30375011,8.94064797,5,5,5,0.97893879
200001,1,53.8505,38.35569491,0.340805,0.416102,0.243093,13.07183514,15.95988775,9.323972032,10,5,10,1.02091011
200001,1,53.8505,38.52313111,0.340805,0.416102,0.243093,13.12889833,16.02955831,9.364674473,15,5,15,1.025366744
200001,1,53.8505,35.97645013,0.340805,0.416102,0.243093,12.26097522,14.96987884,8.745596073,20,5,20,0.957581964
200001,1,53.8505,36.54790831,0.340805,0.416102,0.243093,12.45573136,15.20766382,8.884513126,25,5,25,0.972792415
200001,1,53.8505,37.80735105,0.340805,0.416102,0.243093,12.88495648,15.73172068,9.19067389,30,5,30,1.00631489
200001,1,53.8505,37.41623964,0.340805,0.416102,0.243093,12.75166353,15.56897837,9.095597739,35,5,35,0.995904712
200001,1,53.8505,37.67996278,0.340805,0.416102,0.243093,12.84154185,15.67871414,9.15970679,40,5,40,1.002924208
200001,1,53.8505,36.94346962,0.340805,0.416102,0.243093,12.59054086,15.37225774,8.980671013,45,5,45,0.983321035
200001,1,53.8505,38.46926052,0.340805,0.416102,0.243093,13.11053893,16.00714264,9.351578951,50,5,50,1.023932875
200001,1,53.8505,38.37977436,0.340805,0.416102,0.243093,13.08004155,15.96990726,9.32982556,55,5,55,1.02155103
200001,2,53.8505,34.66546563,0.28984,0.444772,0.265389,10.04745837,15.41819106,9.199816207,0,5,60,0.999578018
200001,2,53.8505,35.07984879,0.28984,0.444772,0.265389,10.16756342,15.60249664,9.309788735,5,5,65,1.011526749
200001,2,53.8505,34.82223565,0.28984,0.444772,0.265389,10.09289668,15.4879178,9.241421167,10,5,70,1.004098479
200001,2,53.8505,34.30414398,0.28984,0.444772,0.265389,9.942732692,15.25748569,9.103925592,15,5,75,0.989159316
200001,2,53.8505,34.78367225,0.28984,0.444772,0.265389,10.08171944,15.47076592,9.231186885,20,5,80,1.002986504
200001,2,53.8505,34.26525586,0.28984,0.444772,0.265389,9.931461338,15.24018939,9.093605134,25,5,85,0.988037978
200001,2,53.8505,34.98270052,0.28984,0.444772,0.265389,10.13940591,15.55928791,9.284006702,30,5,90,1.00872548
200001,2,53.8505,34.62018671,0.28984,0.444772,0.265389,10.0343347,15.39805231,9.187799702,35,5,95,0.998272401
200001,2,53.8505,34.56749651,0.28984,0.444772,0.265389,10.01906294,15.37461724,9.173816328,40,5,100,0.996753081
200001,2,53.8505,34.37379141,0.28984,0.444772,0.265389,9.962919344,15.28846285,9.122409221,45,5,105,0.991167598
200001,2,53.8505,35.11706174,0.28984,0.444772,0.265389,10.17834924,15.61904787,9.319664623,50,5,110,1.012599783
200001,2,53.8505,34.57934094,0.28984,0.444772,0.265389,10.02249594,15.3798853,9.176959704,55,5,115,0.997094615
200001,3,53.8505,33.00642804,0.325783,0.435464,0.238753,10.752951,14.37317155,7.88040395,0,5,120,0.984558215
200001,3,53.8505,33.06376622,0.325783,0.435464,0.238753,10.77163083,14.39814037,7.894093646,5,5,125,0.986268571
200001,3,53.8505,33.72933241,0.325783,0.435464,0.238753,10.98846134,14.6879717,8.052999979,10,5,130,1.006121936
200001,3,53.8505,33.60376206,0.325783,0.435464,0.238753,10.94755259,14.6332901,8.023019604,15,5,135,1.002376262
200001,3,53.8505,33.63934792,0.325783,0.435464,0.238753,10.95914588,14.64878653,8.031515857,20,5,140,1.003437763
200001,3,53.8505,33.65295991,0.325783,0.435464,0.238753,10.96358044,14.65471409,8.034765768,25,5,145,1.003843799
200001,3,53.8505,34.94040147,0.325783,0.435464,0.238753,11.38300771,15.21535089,8.342147093,30,5,150,1.042247263
200001,3,53.8505,33.022918,0.325783,0.435464,0.238753,10.75832315,14.38035237,7.884340987,35,5,155,0.985050098
200001,3,53.8505,32.94327989,0.325783,0.435464,0.238753,10.73237837,14.34567269,7.865327101,40,5,160,0.98267455
200001,3,53.8505,32.71637072,0.325783,0.435464,0.238753,10.65845509,14.2468615,7.811151715,45,5,165,0.975906011
200001,3,53.8505,33.79229644,0.325783,0.435464,0.238753,11.00897399,14.71539038,8.068032869,50,5,170,1.008000109
200001,3,53.8505,34.17833693,0.325783,0.435464,0.238753,11.13473962,14.88349783,8.160201431,55,5,175,1.019515421
200001,4,53.8505,33.3793273,0.312529,0.46566,0.221811,10.43205413,15.54338529,7.403887885,0,5,180,0.995681534
200001,4,53.8505,32.87924609,0.312529,0.46566,0.221811,10.27576356,15.31051795,7.292964581,5,5,185,0.980764468
200001,4,53.8505,32.89004037,0.312529,0.46566,0.221811,10.2791371,15.3155444,7.295358867,10,5,190,0.981086453
200001,4,53.8505,33.90580412,0.312529,0.46566,0.221811,10.59659414,15.78854397,7.520666012,15,5,195,1.011385962
200001,4,53.8505,33.9696125,0.312529,0.46566,0.221811,10.61653619,15.81825692,7.534819385,20,5,200,1.01328932
200001,4,53.8505,33.83181994,0.312529,0.46566,0.221811,10.57347183,15.75409257,7.504255537,25,5,205,1.009179066
200001,4,53.8505,32.99951114,0.312529,0.46566,0.221811,10.31335004,15.36652046,7.319640643,30,5,210,0.984351888
200001,4,53.8505,33.61766433,0.312529,0.46566,0.221811,10.5065417,15.65436908,7.456753559,35,5,215,1.002790957
200001,4,53.8505,33.53814572,0.312529,0.46566,0.221811,10.48168971,15.61734052,7.439115489,40,5,220,1.000418974
200001,4,53.8505,33.60838676,0.312529,0.46566,0.221811,10.50364217,15.65004889,7.454695695,45,5,225,1.002514214
200001,4,53.8505,34.05787595,0.312529,0.46566,0.221811,10.6441212,15.85935759,7.554397152,50,5,230,1.015922156
200001,4,53.8505,33.61176578,0.312529,0.46566,0.221811,10.50469822,15.65162236,7.455445197,55,5,235,1.002615008
200001,5,53.8505,34.85165035,0.337616,0.476279,0.186105,11.76641786,16.59910581,6.48602618,0,5,240,1.004946651
200001,5,53.8505,34.6951968,0.337616,0.476279,0.186105,11.7135969,16.52459029,6.456909572,5,5,245,1.000435316
200001,5,53.8505,34.7518937,0.337616,0.476279,0.186105,11.73273858,16.55159382,6.467461084,10,5,250,1.00207017
200001,5,53.8505,34.83946201,0.337616,0.476279,0.186105,11.7623029,16.59330076,6.483757883,15,5,255,1.0045952
200001,5,53.8505,34.30498457,0.337616,0.476279,0.186105,11.58185564,16.33874043,6.384289576,20,5,260,0.989183554
200001,5,53.8505,34.59609118,0.337616,0.476279,0.186105,11.68013741,16.47738837,6.438465635,25,5,265,0.997577607
200001,5,53.8505,34.55752346,0.337616,0.476279,0.186105,11.6671164,16.45901938,6.431288034,30,5,270,0.996465508
